SN,Text ID,Text,SEN,HAO,POL,PGS,FT,EYE,HBF,FR,EMP,BF,SW,DO
1,626062b033bc4e1c,BEER बिकेन आगो लगाई दियो,1,0,0,1,1,0,0,0,0,0,0,0
2,9591a62e112840be,नेपालले हार्नुको कारण,1,0,1,1,0,0,0,0,0,0,0,0
3,43cc9ca34e214ac2,पनौती प्रचण्ड,1,1,1,1,0,0,0,0,0,0,0,0
4,6355ac74a6894d57,अझ खेल खेलेर आएसी सोध्न पर्छ नि,0,0,0,0,0,0,0,0,0,0,0,1
5,8eccd439fc224f3a,पनौती लगा रैछ र पो,1,1,0,0,0,0,0,0,0,0,0,1
6,24ba5d3cf0cf4f8a,पनौति,1,1,0,0,0,0,0,0,0,0,0,1
7,3a1d426c9b33435d,पनौती लागि सक्यो,1,1,0,0,0,0,0,0,0,0,0,1
8,a1ac0c30c7c043ff,अनि क्रीकेट मा लगानी कति गर्यो र बोलेको पुरस्कार दियो कि दियन,0,0,1,0,0,0,0,0,0,0,0,1
9,55e7092436d94ea2,पनौती,1,1,0,0,0,0,0,0,0,0,0,1
10,b74df330dc474952,भ्रष्टाचार गर्न भन्दा बरु खेल हरु मा लगाए राम्रो हुन्थ्यो अरु बेला सहयोग गर्ने होइनचासो गर्ने होइन जब गेम मा जन्छ तब नाटक देखाउन जानेका डाका,1,1,1,1,0,0,0,0,0,0,0,0
11,249bf699d17448f7,तैयारी राम्रै छ हामि रनमा जना विकेट गुमाउँदैछौंसर,1,0,0,0,0,0,0,0,0,0,0,1
12,d1e9637733264fc3,पनौती,1,1,0,0,0,0,0,0,0,0,0,1
13,99492114cd6a4877,यहि हो पनौती अहिले हालत हेर छ,1,1,0,0,0,0,0,0,0,0,0,1
14,6d9d63ffe8294842,कालो बिरालो ले बाटो काटो,1,1,0,0,0,0,0,0,0,0,1,0
15,851cbcbd97ef4eb5,लोदर लाग्ने भो,0,0,0,0,0,0,0,0,0,0,0,1
16,542531c1b1cc49d7,यो भिडियो भारतिया मेडियाले देख्यो भने का देखी काहा पुराएर छोड्छ,0,0,0,0,0,0,0,0,0,0,0,1
